seed,n,patch,coupling,severity,scope,scope_size,solver,solution,cost,gap,evals,runtime_s,p_opt,depth,shots,amp_ops,boundary_ratio,noise_lambda,scope_recall
2,16,4,0.55,0.65,inferred-sensitivity,4,QAOA,36298,4.023032323222198,0.9342584366965199,89,0.002653209026902914,0.27905899749746255,2,256,5696,0.10039345149928351,0.0,0.25
2,16,4,0.55,0.65,inferred-sensitivity,4,QAOA,36298,4.023032323222198,0.9342584366965199,89,0.002715375041589141,0.27905899749746255,2,1024,5696,0.10039345149928351,0.0,0.25
2,16,4,0.55,0.65,inferred-noise,4,QAOA,36298,4.023032323222198,0.9342584366965199,89,0.0015670829452574253,0.23068725367266538,1,256,5696,0.10039345149928351,0.1,0.25
2,16,4,0.55,0.65,inferred-noise,4,QAOA,36298,4.023032323222198,0.9342584366965199,89,0.001597624970600009,0.20265604472722112,1,256,5696,0.10039345149928351,0.25,0.25
2,16,4,0.55,0.65,inferred-noise,4,QAOA,36298,4.023032323222198,0.9342584366965199,89,0.0016249159816652536,0.15593736315148077,1,256,5696,0.10039345149928351,0.5,0.25
3,16,4,0.55,0.65,full,16,deployed,48644,4.275386998064544,0.31855364720667656,0,0.0,,0,0,0,0.0,0.0,1.0
3,16,4,0.55,0.65,full,16,exact enumeration,20986,3.000889163091939,0.0,65536,0.0,,0,0,68719476736,0.0,0.0,1.0
3,16,4,0.55,0.65,full,16,MILP,20986,3.000889163091939,0.0,0,0.012284375028684735,,0,0,0,0.0,0.0,1.0
3,16,4,0.55,0.65,full,16,annealing,55341,3.884403178436477,0.22082941549466642,89,8.000002708286047e-05,,0,0,93323264,0.0,0.0,1.0
3,16,4,0.55,0.65,full,16,QAOA,4826,3.212850785658722,0.05297862898130784,89,0.23101737501565367,0.0009242653654528484,1,256,93323264,0.0,0.0,1.0
3,16,4,0.55,0.65,true,4,exact LNS,48644,4.275386998064544,0.31855364720667656,16,1.2919772416353226e-06,,0,0,1024,0.0,0.0,1.0
3,16,4,0.55,0.65,true,4,annealing,48644,4.275386998064544,0.31855364720667656,89,7.675006054341793e-05,,0,0,5696,0.0,0.0,1.0
3,16,4,0.55,0.65,true,4,QAOA,48644,4.275386998064544,0.31855364720667656,89,0.0016716249519959092,0.5133706134243429,1,256,5696,0.0,0.0,1.0
3,16,4,0.55,0.65,inferred,4,exact LNS,40484,4.216465802318819,0.3038266219520729,16,9.159557521343231e-07,,0,0,1024,0.0,0.0,0.75
3,16,4,0.55,0.65,inferred,4,annealing,40484,4.216465802318819,0.3038266219520729,89,7.17920484021306e-05,,0,0,5696,0.0,0.0,0.75
3,16,4,0.55,0.65,inferred,4,QAOA,40484,4.216465802318819,0.3038266219520729,89,0.001630165963433683,0.2671079857232113,1,256,5696,0.0,0.0,0.75
3,16,4,0.55,0.65,wrong,4,exact LNS,48644,4.275386998064544,0.31855364720667656,16,9.160721674561501e-07,,0,0,1024,0.0,0.0,0.5
3,16,4,0.55,0.65,wrong,4,annealing,48644,4.275386998064544,0.31855364720667656,89,6.975000724196434e-05,,0,0,5696,0.0,0.0,0.5
3,16,4,0.55,0.65,wrong,4,QAOA,48644,4.275386998064544,0.31855364720667656,89,0.001648042001761496,0.22650546078134542,1,256,5696,0.0,0.0,0.5
3,16,4,0.55,0.65,inferred-sensitivity,4,QAOA,40484,4.216465802318819,0.3038266219520729,89,0.001687333919107914,0.2671079857232113,1,64,5696,0.0,0.0,0.75
3,16,4,0.55,0.65,inferred-sensitivity,4,QAOA,40484,4.216465802318819,0.3038266219520729,89,0.002559417043812573,0.2857085107600342,2,64,5696,0.0,0.0,0.75
3,16,4,0.55,0.65,inferred-sensitivity,4,QAOA,40484,4.216465802318819,0.3038266219520729,89,0.0026753749698400497,0.2857085107600342,2,256,5696,0.0,0.0,0.75
