n,seed,event,changed,scope,scope_fraction,runtime_ms,edges
1000,19,1,4,30,0.03,0.00175,2996
1000,19,2,4,27,0.027,0.002,2996
1000,19,3,4,26,0.026,0.00175,2996
1000,19,4,4,26,0.026,0.001708,2996
1000,19,5,4,30,0.03,0.001583,2996
1000,19,6,4,27,0.027,0.001584,2996
1000,19,7,4,26,0.026,0.001458,2996
1000,19,8,4,26,0.026,0.001667,2996
1000,19,9,4,25,0.025,0.001583,2996
5000,0,0,5,35,0.007,0.003791,14993
5000,0,1,5,39,0.0078,0.002875,14993
5000,0,2,5,41,0.0082,0.002959,14993
5000,0,3,5,32,0.0064,0.002,14993
5000,0,4,5,32,0.0064,0.001959,14993
5000,0,5,5,36,0.0072,0.001958,14993
5000,0,6,5,32,0.0064,0.001958,14993
5000,0,7,5,38,0.0076,0.002208,14993
5000,0,8,5,33,0.0066,0.001917,14993
5000,0,9,5,31,0.0062,0.002,14993
5000,1,0,5,33,0.0066,0.003542,14991
5000,1,1,5,29,0.0058,0.002375,14991
5000,1,2,5,33,0.0066,0.002416,14991
5000,1,3,5,35,0.007,0.002041,14991
5000,1,4,5,32,0.0064,0.001833,14991
5000,1,5,5,35,0.007,0.001834,14991
5000,1,6,5,42,0.0084,0.002125,14991
5000,1,7,5,29,0.0058,0.001709,14991
5000,1,8,5,35,0.007,0.001791,14991
5000,1,9,5,29,0.0058,0.00175,14991
5000,2,0,5,34,0.0068,0.002541,14993
5000,2,1,5,31,0.0062,0.002209,14993
5000,2,2,5,32,0.0064,0.002,14993
5000,2,3,5,32,0.0064,0.002,14993
5000,2,4,5,31,0.0062,0.001875,14993
5000,2,5,5,33,0.0066,0.002,14993
5000,2,6,5,38,0.0076,0.002166,14993
5000,2,7,5,31,0.0062,0.001917,14993
5000,2,8,5,39,0.0078,0.00225,14993
5000,2,9,5,38,0.0076,0.002125,14993
5000,3,0,5,32,0.0064,0.003833,14985
5000,3,1,5,30,0.006,0.0025,14985
5000,3,2,5,30,0.006,0.002084,14985
5000,3,3,5,33,0.0066,0.001917,14985
5000,3,4,5,33,0.0066,0.001791,14985
5000,3,5,5,33,0.0066,0.001834,14985
5000,3,6,5,36,0.0072,0.001875,14985
5000,3,7,5,38,0.0076,0.00225,14985
5000,3,8,5,32,0.0064,0.002,14985
5000,3,9,5,36,0.0072,0.001791,14985
5000,4,0,5,35,0.007,0.002666,14986
5000,4,1,5,32,0.0064,0.002042,14986
5000,4,2,5,35,0.007,0.001958,14986
5000,4,3,5,35,0.007,0.001959,14986
5000,4,4,5,34,0.0068,0.001708,14986
5000,4,5,5,31,0.0062,0.001666,14986
5000,4,6,5,28,0.0056,0.001459,14986
5000,4,7,5,35,0.007,0.001792,14986
5000,4,8,5,35,0.007,0.001792,14986
5000,4,9,5,38,0.0076,0.002292,14986
5000,5,0,5,34,0.0068,0.004417,14992
5000,5,1,5,31,0.0062,0.002166,14992
5000,5,2,5,33,0.0066,0.002125,14992
5000,5,3,5,34,0.0068,0.001958,14992
5000,5,4,5,37,0.0074,0.002084,14992
5000,5,5,5,36,0.0072,0.001917,14992
5000,5,6,5,35,0.007,0.001833,14992
5000,5,7,5,34,0.0068,0.001917,14992
5000,5,8,5,35,0.007,0.001834,14992
5000,5,9,5,33,0.0066,0.001917,14992
5000,6,0,5,40,0.008,0.004042,14988
5000,6,1,5,36,0.0072,0.002625,14988
5000,6,2,5,34,0.0068,0.002166,14988
5000,6,3,5,32,0.0064,0.001917,14988
5000,6,4,5,32,0.0064,0.001916,14988
5000,6,5,5,33,0.0066,0.002,14988
5000,6,6,5,32,0.0064,0.002042,14988
5000,6,7,5,35,0.007,0.002125,14988
5000,6,8,5,32,0.0064,0.00225,14988
5000,6,9,5,37,0.0074,0.001875,14988
5000,7,0,5,37,0.0074,0.00275,14991
5000,7,1,5,37,0.0074,0.002083,14991
5000,7,2,5,37,0.0074,0.002125,14991
5000,7,3,5,32,0.0064,0.002083,14991
5000,7,4,5,35,0.007,0.001917,14991
5000,7,5,5,38,0.0076,0.002125,14991
5000,7,6,5,38,0.0076,0.002458,14991
5000,7,7,5,38,0.0076,0.002292,14991
5000,7,8,5,32,0.0064,0.001875,14991
5000,7,9,5,32,0.0064,0.001708,14991
5000,8,0,5,37,0.0074,0.004792,14991
5000,8,1,5,35,0.007,0.002667,14991
5000,8,2,5,31,0.0062,0.002333,14991
5000,8,3,5,31,0.0062,0.002042,14991
5000,8,4,5,36,0.0072,0.001917,14991
5000,8,5,5,33,0.0066,0.001833,14991
5000,8,6,5,34,0.0068,0.001875,14991
5000,8,7,5,38,0.0076,0.002291,14991
5000,8,8,5,34,0.0068,0.002083,14991
5000,8,9,5,42,0.0084,0.00225,14991
5000,9,0,5,37,0.0074,0.003542,14992
5000,9,1,5,35,0.007,0.002292,14992
5000,9,2,5,29,0.0058,0.001917,14992
5000,9,3,5,34,0.0068,0.002083,14992
5000,9,4,5,34,0.0068,0.001917,14992
5000,9,5,5,34,0.0068,0.002,14992
5000,9,6,5,32,0.0064,0.001959,14992
5000,9,7,5,34,0.0068,0.001916,14992
5000,9,8,5,36,0.0072,0.002209,14992
5000,9,9,5,32,0.0064,0.001958,14992
5000,10,0,5,36,0.0072,0.003834,14989
5000,10,1,5,40,0.008,0.003166,14989
5000,10,2,5,36,0.0072,0.002459,14989
5000,10,3,5,29,0.0058,0.002459,14989
5000,10,4,5,37,0.0074,0.002041,14989
5000,10,5,5,31,0.0062,0.001792,14989
5000,10,6,5,33,0.0066,0.002083,14989
5000,10,7,5,36,0.0072,0.001917,14989
5000,10,8,5,37,0.0074,0.002084,14989
5000,10,9,5,38,0.0076,0.002166,14989
5000,11,0,5,37,0.0074,0.004292,14991
5000,11,1,5,42,0.0084,0.002792,14991
5000,11,2,5,34,0.0068,0.002291,14991
5000,11,3,5,32,0.0064,0.002,14991
5000,11,4,5,36,0.0072,0.002125,14991
5000,11,5,5,36,0.0072,0.001958,14991
5000,11,6,5,32,0.0064,0.001833,14991
5000,11,7,5,39,0.0078,0.002167,14991
5000,11,8,5,34,0.0068,0.002125,14991
