dataset,seed,method,accuracy,brier,ece,public_size,private_size,public_fraction,test_size,clients,noniid,noise_lambda,shots,rounds,bytes,inference_models,membership_auc,membership_null_auc,inference_ms,parameter_bytes,min_client_contribution,mean_client_contribution
cancer,7,weighted ensemble,0.9562043795620438,0.05358386305861904,0.15077052220207252,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.6143123473676133,0.49832878664995456,0.405333,264,0.02919708029197088,0.12895377128953778
cancer,7,hard transfer,0.9562043795620438,0.034926506957827,0.057283515336693853,137,295,0.24,137,3,severe,0.55,64,1,3288,1,0.6143123473676133,0.49832878664995456,0.004625,56,0.02919708029197088,0.12895377128953778
cancer,7,FedDF,0.9416058394160584,0.0980451456719766,0.24226894562447102,137,295,0.24,137,3,severe,0.55,64,1,3288,1,0.6143123473676133,0.49832878664995456,0.004666,56,0.02919708029197088,0.12895377128953778
cancer,7,FedMD-1r,0.9562043795620438,0.06994838068989162,0.1925621674121711,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.6143123473676133,0.49832878664995456,0.388792,264,0.02919708029197088,0.12895377128953778
cancer,7,FedMD-2r,0.9562043795620438,0.06296117890257838,0.16941572916540287,137,295,0.24,137,3,severe,0.55,64,2,6576,3,0.6143123473676133,0.49832878664995456,0.404417,264,0.02919708029197088,0.12895377128953778
cancer,7,FedMD,0.9635036496350365,0.05944870805281771,0.16474074253803686,137,295,0.24,137,3,severe,0.55,64,3,9864,3,0.6143123473676133,0.49832878664995456,0.403709,264,0.02919708029197088,0.12895377128953778
cancer,7,centralized reference,0.9708029197080292,0.027201701457848847,0.06107447568107476,137,295,0.24,137,3,severe,0.55,64,0,0,1,0.6143123473676133,0.49832878664995456,0.004584,56,0.02919708029197088,0.12895377128953778
cancer,8,best local,0.9124087591240876,0.07107859999636437,0.06388116427947714,137,295,0.24,137,3,severe,0.55,64,0,0,1,0.6191566243473836,0.5004039195631598,0.211541,104,0.07299270072992703,0.12895377128953775
cancer,8,unweighted ensemble,0.9051094890510949,0.12211169866398701,0.21633519511022223,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.6191566243473836,0.5004039195631598,0.417292,264,0.07299270072992703,0.12895377128953775
cancer,8,weighted ensemble,0.9051094890510949,0.08683801305922605,0.1496288792068937,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.6191566243473836,0.5004039195631598,0.406833,264,0.07299270072992703,0.12895377128953775
cancer,8,hard transfer,0.8978102189781022,0.06814757070198603,0.07670561611455967,137,295,0.24,137,3,severe,0.55,64,1,3288,1,0.6191566243473836,0.5004039195631598,0.004459,56,0.07299270072992703,0.12895377128953775
cancer,8,FedDF,0.8905109489051095,0.13141753589007996,0.21736109182424357,137,295,0.24,137,3,severe,0.55,64,1,3288,1,0.6191566243473836,0.5004039195631598,0.004416,56,0.07299270072992703,0.12895377128953775
cancer,8,FedMD-1r,0.9416058394160584,0.09958523337678724,0.22307312247435346,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.6191566243473836,0.5004039195631598,0.416333,264,0.07299270072992703,0.12895377128953775
cancer,8,FedMD-2r,0.9562043795620438,0.09050348988577327,0.21957418723641947,137,295,0.24,137,3,severe,0.55,64,2,6576,3,0.6191566243473836,0.5004039195631598,0.415042,264,0.07299270072992703,0.12895377128953775
cancer,8,FedMD,0.9635036496350365,0.08596337601968064,0.21655250984179464,137,295,0.24,137,3,severe,0.55,64,3,9864,3,0.6191566243473836,0.5004039195631598,0.414166,264,0.07299270072992703,0.12895377128953775
cancer,8,centralized reference,0.9197080291970803,0.060216586822698995,0.04679295403324082,137,295,0.24,137,3,severe,0.55,64,0,0,1,0.6191566243473836,0.5004039195631598,0.004375,56,0.07299270072992703,0.12895377128953775
cancer,9,best local,0.8540145985401459,0.0881395060180184,0.14060694142733132,137,295,0.24,137,3,severe,0.55,64,0,0,1,0.6105581361055813,0.4909941562704858,0.203958,104,0.06569343065693434,0.10948905109489056
cancer,9,unweighted ensemble,0.8686131386861314,0.13570685564981702,0.28552477992520886,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.6105581361055813,0.4909941562704858,0.409416,264,0.06569343065693434,0.10948905109489056
cancer,9,weighted ensemble,0.8394160583941606,0.10540626053447265,0.21219155293071887,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.6105581361055813,0.4909941562704858,0.407583,264,0.06569343065693434,0.10948905109489056
cancer,9,hard transfer,0.8175182481751825,0.1309051776679737,0.15445748861117248,137,295,0.24,137,3,severe,0.55,64,1,3288,1,0.6105581361055813,0.4909941562704858,0.004709,56,0.06569343065693434,0.10948905109489056
cancer,9,FedDF,0.8540145985401459,0.15326230654975545,0.28594921949180346,137,295,0.24,137,3,severe,0.55,64,1,3288,1,0.6105581361055813,0.4909941562704858,0.0045,56,0.06569343065693434,0.10948905109489056
cancer,9,FedMD-1r,0.8905109489051095,0.12099098388666372,0.26059033417329414,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.6105581361055813,0.4909941562704858,0.409208,264,0.06569343065693434,0.10948905109489056
cancer,9,FedMD-2r,0.8905109489051095,0.10954710114957182,0.24332605931713117,137,295,0.24,137,3,severe,0.55,64,2,6576,3,0.6105581361055813,0.4909941562704858,0.407833,264,0.06569343065693434,0.10948905109489056
cancer,9,FedMD,0.8978102189781022,0.1033402646906462,0.23142837446650918,137,295,0.24,137,3,severe,0.55,64,3,9864,3,0.6105581361055813,0.4909941562704858,0.41175,264,0.06569343065693434,0.10948905109489056
cancer,9,centralized reference,0.948905109489051,0.04632012001348381,0.06506363397503377,137,295,0.24,137,3,severe,0.55,64,0,0,1,0.6105581361055813,0.4909941562704858,0.004916,56,0.06569343065693434,0.10948905109489056
cancer,10,best local,0.8905109489051095,0.07601737934716937,0.11263982792126545,137,295,0.24,137,3,severe,0.55,64,0,0,1,0.6823029440339137,0.482293765401169,0.202625,104,0.021897810218978186,0.08759124087591245
cancer,10,unweighted ensemble,0.8832116788321168,0.1339581872610343,0.2841924396557285,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.6823029440339137,0.482293765401169,0.415542,264,0.021897810218978186,0.08759124087591245
cancer,10,weighted ensemble,0.8686131386861314,0.09995460378884191,0.1999947102687046,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.6823029440339137,0.482293765401169,0.411083,264,0.021897810218978186,0.08759124087591245
cancer,10,hard transfer,0.8613138686131386,0.09973354164104603,0.10398601662048643,137,295,0.24,137,3,severe,0.55,64,1,3288,1,0.6823029440339137,0.482293765401169,0.004667,56,0.021897810218978186,0.08759124087591245
cancer,10,FedDF,0.8321167883211679,0.1534485334532249,0.24755159662460546,137,295,0.24,137,3,severe,0.55,64,1,3288,1,0.6823029440339137,0.482293765401169,0.0045,56,0.021897810218978186,0.08759124087591245
cancer,10,FedMD-1r,0.9197080291970803,0.11167073491948083,0.23858249578688542,137,295,0.24,137,3,severe,0.55,64,1,3288,3,0.6823029440339137,0.482293765401169,0.41675,264,0.021897810218978186,0.08759124087591245
