dataset,seed,method,accuracy,brier,ece,public_size,private_size,public_fraction,test_size,clients,noniid,noise_lambda,shots,rounds,bytes,inference_models,membership_auc,membership_null_auc,inference_ms,parameter_bytes,min_client_contribution,mean_client_contribution
cancer,0,FedDF,0.9343065693430657,0.04799070043189227,0.1177562172382942,68,364,0.12,137,3,iid,0.45,64,1,1632,1,0.4946116665034938,0.5119940361109984,0.004542,56,-0.014598540145985384,-0.0024330900243308973
cancer,0,FedMD-1r,0.9343065693430657,0.046246780051505634,0.1110412223333259,68,364,0.12,137,3,iid,0.45,64,1,1632,3,0.4946116665034938,0.5119940361109984,0.407292,264,-0.014598540145985384,-0.0024330900243308973
cancer,0,FedMD-2r,0.9343065693430657,0.04824638193179961,0.1188361798234586,68,364,0.12,137,3,iid,0.45,64,2,3264,3,0.4946116665034938,0.5119940361109984,0.405667,264,-0.014598540145985384,-0.0024330900243308973
cancer,0,FedMD,0.9343065693430657,0.04913644803323453,0.11911606035901119,68,364,0.12,137,3,iid,0.45,64,3,4896,3,0.4946116665034938,0.5119940361109984,0.405208,264,-0.014598540145985384,-0.0024330900243308973
cancer,0,centralized reference,0.927007299270073,0.038080374929008926,0.06394352573942999,68,364,0.12,137,3,iid,0.45,64,0,0,1,0.4946116665034938,0.5119940361109984,0.004417,56,-0.014598540145985384,-0.0024330900243308973
cancer,1,best local,0.9708029197080292,0.03888759542831564,0.07708350471019874,68,364,0.12,137,3,iid,0.45,64,0,0,1,0.5244739650137412,0.46744304027800715,0.202167,104,0.0,0.0048661800486617945
cancer,1,unweighted ensemble,0.9635036496350365,0.03977908177938126,0.08725991271950939,68,364,0.12,137,3,iid,0.45,64,1,1632,3,0.5244739650137412,0.46744304027800715,0.413042,264,0.0,0.0048661800486617945
cancer,1,weighted ensemble,0.9635036496350365,0.039793528782046034,0.08691601853829287,68,364,0.12,137,3,iid,0.45,64,1,1632,3,0.5244739650137412,0.46744304027800715,0.392583,264,0.0,0.0048661800486617945
cancer,1,hard transfer,0.9416058394160584,0.044843655146139354,0.03750836864781776,68,364,0.12,137,3,iid,0.45,64,1,1632,1,0.5244739650137412,0.46744304027800715,0.004333,56,0.0,0.0048661800486617945
cancer,1,FedDF,0.948905109489051,0.05025824398888902,0.09473893962415286,68,364,0.12,137,3,iid,0.45,64,1,1632,1,0.5244739650137412,0.46744304027800715,0.004333,56,0.0,0.0048661800486617945
cancer,1,FedMD-1r,0.9635036496350365,0.04404387221765647,0.10859254230580505,68,364,0.12,137,3,iid,0.45,64,1,1632,3,0.5244739650137412,0.46744304027800715,0.406458,264,0.0,0.0048661800486617945
cancer,1,FedMD-2r,0.9635036496350365,0.04625629544078245,0.11684599579497847,68,364,0.12,137,3,iid,0.45,64,2,3264,3,0.5244739650137412,0.46744304027800715,0.405375,264,0.0,0.0048661800486617945
cancer,1,FedMD,0.948905109489051,0.04719456288825596,0.12039310407844402,68,364,0.12,137,3,iid,0.45,64,3,4896,3,0.5244739650137412,0.46744304027800715,0.409333,264,0.0,0.0048661800486617945
cancer,1,centralized reference,0.9416058394160584,0.04505385200169449,0.042961598279801845,68,364,0.12,137,3,iid,0.45,64,0,0,1,0.5244739650137412,0.46744304027800715,0.00475,56,0.0,0.0048661800486617945
