n,seed,context,policy,action,utility,deadline_miss,infeasible
12,8,12,train-selected fixed,local-sim,-0.11917399665654191,0,0
12,8,12,always invoke-QPU,invoke-QPU,-2.2009215250620375,1,0
12,8,12,always remote-sim,remote-sim,-0.4017478760918627,0,0
12,8,12,always local-sim,local-sim,-0.11917399665654191,0,0
12,8,12,always fallback,fallback,-0.20970110430032904,0,0
12,8,13,P1,local-sim,-0.10419041010142908,0,0
12,8,13,utility-only,local-sim,-0.10419041010142908,0,0
12,8,13,logged-IPW,local-sim,-0.10419041010142908,0,0
12,8,13,LinUCB,remote-sim,-0.15112635850459807,0,0
12,8,13,Pareto,local-sim,-0.10419041010142908,0,0
12,8,13,oracle,local-sim,-0.10419041010142908,0,0
12,8,13,train-selected fixed,local-sim,-0.10419041010142908,0,0
12,8,13,always invoke-QPU,invoke-QPU,-0.16425492728434032,0,0
12,8,13,always remote-sim,remote-sim,-0.15112635850459807,0,0
12,8,13,always local-sim,local-sim,-0.10419041010142908,0,0
12,8,13,always fallback,fallback,-0.1794466660942706,0,0
12,8,14,P1,local-sim,-0.10849532654145133,0,0
12,8,14,utility-only,local-sim,-0.10849532654145133,0,0
12,8,14,logged-IPW,local-sim,-0.10849532654145133,0,0
12,8,14,LinUCB,local-sim,-0.10849532654145133,0,0
12,8,14,Pareto,local-sim,-0.10849532654145133,0,0
12,8,14,oracle,local-sim,-0.10849532654145133,0,0
12,8,14,train-selected fixed,local-sim,-0.10849532654145133,0,0
12,8,14,always invoke-QPU,invoke-QPU,-2.204820874351042,1,0
12,8,14,always remote-sim,remote-sim,-0.2178413007789936,0,0
12,8,14,always local-sim,local-sim,-0.10849532654145133,0,0
12,8,14,always fallback,fallback,-0.19665477443856633,0,0
12,8,15,P1,local-sim,-0.10442932391706522,0,0
12,8,15,utility-only,local-sim,-0.10442932391706522,0,0
12,8,15,logged-IPW,local-sim,-0.10442932391706522,0,0
12,8,15,LinUCB,local-sim,-0.10442932391706522,0,0
12,8,15,Pareto,local-sim,-0.10442932391706522,0,0
12,8,15,oracle,local-sim,-0.10442932391706522,0,0
12,8,15,train-selected fixed,local-sim,-0.10442932391706522,0,0
12,8,15,always invoke-QPU,invoke-QPU,-0.20910641960921872,0,0
12,8,15,always remote-sim,remote-sim,-0.19679809204809187,0,0
12,8,15,always local-sim,local-sim,-0.10442932391706522,0,0
12,8,15,always fallback,fallback,-0.18885174637123475,0,0
12,8,16,P1,local-sim,-0.12005817447932877,0,0
12,8,16,utility-only,local-sim,-0.12005817447932877,0,0
12,8,16,logged-IPW,local-sim,-0.12005817447932877,0,0
12,8,16,LinUCB,invoke-QPU,-0.20570769238868614,0,0
12,8,16,Pareto,local-sim,-0.12005817447932877,0,0
12,8,16,oracle,local-sim,-0.12005817447932877,0,0
12,8,16,train-selected fixed,local-sim,-0.12005817447932877,0,0
12,8,16,always invoke-QPU,invoke-QPU,-0.20570769238868614,0,0
12,8,16,always remote-sim,remote-sim,-0.31679592112135035,0,0
12,8,16,always local-sim,local-sim,-0.12005817447932877,0,0
12,8,16,always fallback,fallback,-0.2168108281491394,0,0
12,8,17,P1,local-sim,-0.1060398074944484,0,0
12,8,17,utility-only,local-sim,-0.1060398074944484,0,0
12,8,17,logged-IPW,local-sim,-0.1060398074944484,0,0
12,8,17,LinUCB,invoke-QPU,-0.12222413058133022,0,0
12,8,17,Pareto,local-sim,-0.1060398074944484,0,0
12,8,17,oracle,local-sim,-0.1060398074944484,0,0
12,8,17,train-selected fixed,local-sim,-0.1060398074944484,0,0
12,8,17,always invoke-QPU,invoke-QPU,-0.12222413058133022,0,0
12,8,17,always remote-sim,remote-sim,-0.18159453387079227,0,0
12,8,17,always local-sim,local-sim,-0.1060398074944484,0,0
12,8,17,always fallback,fallback,-0.19656446453815105,0,0
12,8,18,P1,local-sim,-0.11717033638749205,0,0
12,8,18,utility-only,local-sim,-0.11717033638749205,0,0
12,8,18,logged-IPW,local-sim,-0.11717033638749205,0,0
12,8,18,LinUCB,local-sim,-0.11717033638749205,0,0
12,8,18,Pareto,local-sim,-0.11717033638749205,0,0
12,8,18,oracle,local-sim,-0.11717033638749205,0,0
12,8,18,train-selected fixed,local-sim,-0.11717033638749205,0,0
12,8,18,always invoke-QPU,invoke-QPU,-2.2465791896529046,1,0
12,8,18,always remote-sim,remote-sim,-0.27256871901566926,0,0
12,8,18,always local-sim,local-sim,-0.11717033638749205,0,0
12,8,18,always fallback,fallback,-0.20506019366177058,0,0
12,8,19,P1,local-sim,-0.1299231547893234,0,0
12,8,19,utility-only,local-sim,-0.1299231547893234,0,0
12,8,19,logged-IPW,local-sim,-0.1299231547893234,0,0
12,8,19,LinUCB,local-sim,-0.1299231547893234,0,0
12,8,19,Pareto,local-sim,-0.1299231547893234,0,0
12,8,19,oracle,local-sim,-0.1299231547893234,0,0
12,8,19,train-selected fixed,local-sim,-0.1299231547893234,0,0
12,8,19,always invoke-QPU,invoke-QPU,-0.17809889634417447,0,0
12,8,19,always remote-sim,remote-sim,-0.24083095337932622,0,0
12,8,19,always local-sim,local-sim,-0.1299231547893234,0,0
12,8,19,always fallback,fallback,-0.19261978527317805,0,0
12,8,20,P1,local-sim,-0.10797613994748942,0,0
12,8,20,utility-only,local-sim,-0.10797613994748942,0,0
12,8,20,logged-IPW,local-sim,-0.10797613994748942,0,0
12,8,20,LinUCB,local-sim,-0.10797613994748942,0,0
12,8,20,Pareto,local-sim,-0.10797613994748942,0,0
12,8,20,oracle,local-sim,-0.10797613994748942,0,0
12,8,20,train-selected fixed,local-sim,-0.10797613994748942,0,0
12,8,20,always invoke-QPU,invoke-QPU,-0.22067051590573578,0,0
12,8,20,always remote-sim,remote-sim,-0.1896862697650181,0,0
12,8,20,always local-sim,local-sim,-0.10797613994748942,0,0
12,8,20,always fallback,fallback,-0.22769381341166306,0,0
12,8,21,P1,local-sim,-0.10029734186755163,0,0
12,8,21,utility-only,local-sim,-0.10029734186755163,0,0
12,8,21,logged-IPW,local-sim,-0.10029734186755163,0,0
12,8,21,LinUCB,local-sim,-0.10029734186755163,0,0
12,8,21,Pareto,local-sim,-0.10029734186755163,0,0
12,8,21,oracle,local-sim,-0.10029734186755163,0,0
12,8,21,train-selected fixed,local-sim,-0.10029734186755163,0,0
12,8,21,always invoke-QPU,invoke-QPU,-0.12977314468019518,0,0
12,8,21,always remote-sim,remote-sim,-0.17671533060442846,0,0
12,8,21,always local-sim,local-sim,-0.10029734186755163,0,0
12,8,21,always fallback,fallback,-0.21532288293618437,0,0
12,8,22,P1,local-sim,-0.10814862968390324,0,0
12,8,22,utility-only,local-sim,-0.10814862968390324,0,0
12,8,22,logged-IPW,local-sim,-0.10814862968390324,0,0
12,8,22,LinUCB,local-sim,-0.10814862968390324,0,0
12,8,22,Pareto,local-sim,-0.10814862968390324,0,0
12,8,22,oracle,local-sim,-0.10814862968390324,0,0
12,8,22,train-selected fixed,local-sim,-0.10814862968390324,0,0
12,8,22,always invoke-QPU,invoke-QPU,-0.14735952903295896,0,0
12,8,22,always remote-sim,remote-sim,-0.18206716608025725,0,0
12,8,22,always local-sim,local-sim,-0.10814862968390324,0,0
12,8,22,always fallback,fallback,-0.20341114247434477,0,0
12,8,23,P1,local-sim,-0.10856437765313413,0,0
12,8,23,utility-only,local-sim,-0.10856437765313413,0,0
12,8,23,logged-IPW,local-sim,-0.10856437765313413,0,0
12,8,23,LinUCB,invoke-QPU,-0.26617123379164115,0,0
12,8,23,Pareto,local-sim,-0.10856437765313413,0,0
12,8,23,oracle,local-sim,-0.10856437765313413,0,0
12,8,23,train-selected fixed,local-sim,-0.10856437765313413,0,0
12,8,23,always invoke-QPU,invoke-QPU,-0.26617123379164115,0,0
12,8,23,always remote-sim,remote-sim,-0.12785527885808123,0,0
12,8,23,always local-sim,local-sim,-0.10856437765313413,0,0
12,8,23,always fallback,fallback,-0.19646503132024082,0,0
12,8,24,P1,local-sim,-0.1132226085066253,0,0
12,8,24,utility-only,local-sim,-0.1132226085066253,0,0
12,8,24,logged-IPW,local-sim,-0.1132226085066253,0,0
12,8,24,LinUCB,local-sim,-0.1132226085066253,0,0
12,8,24,Pareto,local-sim,-0.1132226085066253,0,0
12,8,24,oracle,local-sim,-0.1132226085066253,0,0
12,8,24,train-selected fixed,local-sim,-0.1132226085066253,0,0
12,8,24,always invoke-QPU,invoke-QPU,-7.529609206142217,1,1
12,8,24,always remote-sim,remote-sim,-10.631818877773933,1,1
12,8,24,always local-sim,local-sim,-0.1132226085066253,0,0
12,8,24,always fallback,fallback,-0.21557776070809553,0,0
12,8,25,P1,local-sim,-0.10932720815617329,0,0
12,8,25,utility-only,local-sim,-0.10932720815617329,0,0
12,8,25,logged-IPW,local-sim,-0.10932720815617329,0,0
12,8,25,LinUCB,local-sim,-0.10932720815617329,0,0
12,8,25,Pareto,local-sim,-0.10932720815617329,0,0
12,8,25,oracle,local-sim,-0.10932720815617329,0,0
12,8,25,train-selected fixed,local-sim,-0.10932720815617329,0,0
12,8,25,always invoke-QPU,invoke-QPU,-7.457801517650817,1,1
12,8,25,always remote-sim,remote-sim,-6.1095478993597165,1,0
12,8,25,always local-sim,local-sim,-0.10932720815617329,0,0
12,8,25,always fallback,fallback,-0.2042379782917164,0,0
12,8,26,P1,local-sim,-0.10379863592718286,0,0
12,8,26,utility-only,local-sim,-0.10379863592718286,0,0
12,8,26,logged-IPW,local-sim,-0.10379863592718286,0,0
12,8,26,LinUCB,local-sim,-0.10379863592718286,0,0
12,8,26,Pareto,local-sim,-0.10379863592718286,0,0
12,8,26,oracle,local-sim,-0.10379863592718286,0,0
12,8,26,train-selected fixed,local-sim,-0.10379863592718286,0,0
12,8,26,always invoke-QPU,invoke-QPU,-0.12777751602913268,0,0
12,8,26,always remote-sim,remote-sim,-0.2644696100749233,0,0
12,8,26,always local-sim,local-sim,-0.10379863592718286,0,0
12,8,26,always fallback,fallback,-0.19392519692745042,0,0
12,8,27,P1,local-sim,-0.10528000649781262,0,0
12,8,27,utility-only,local-sim,-0.10528000649781262,0,0
12,8,27,logged-IPW,local-sim,-0.10528000649781262,0,0
12,8,27,LinUCB,local-sim,-0.10528000649781262,0,0
12,8,27,Pareto,local-sim,-0.10528000649781262,0,0
12,8,27,oracle,local-sim,-0.10528000649781262,0,0
12,8,27,train-selected fixed,local-sim,-0.10528000649781262,0,0
12,8,27,always invoke-QPU,invoke-QPU,-2.3316764901585136,1,0
12,8,27,always remote-sim,remote-sim,-13.052318349330946,1,1
12,8,27,always local-sim,local-sim,-0.10528000649781262,0,0
12,8,27,always fallback,fallback,-0.18918346410531817,0,0
12,8,28,P1,local-sim,-0.10768407438376715,0,0
12,8,28,utility-only,local-sim,-0.10768407438376715,0,0
12,8,28,logged-IPW,local-sim,-0.10768407438376715,0,0
12,8,28,LinUCB,local-sim,-0.10768407438376715,0,0
12,8,28,Pareto,local-sim,-0.10768407438376715,0,0
12,8,28,oracle,local-sim,-0.10768407438376715,0,0
12,8,28,train-selected fixed,local-sim,-0.10768407438376715,0,0
12,8,28,always invoke-QPU,invoke-QPU,-2.136895247725825,1,0
