Base Station ID,Cell ID,Timestamp,prb_pct,traffic_kbyte,users,minute
12326,12326-2,15:30,9.17000000,3444411.29000000,27.27000000,930
12326,12326-2,16:00,10.32000000,4466391.50000000,25.68000000,960
12326,12326-2,16:30,9.29000000,3404884.61000000,21.09000000,990
12326,12326-2,17:00,9.18000000,3035633.31000000,23.60000000,1020
12326,12326-2,17:30,13.88000000,7683402.88000000,34.78000000,1050
12326,12326-2,18:00,10.77000000,4689598.71000000,31.88000000,1080
12326,12326-2,18:30,11.83000000,5385098.57000000,35.56000000,1110
12326,12326-2,19:00,13.96000000,8222284.92000000,34.25000000,1140
12326,12326-2,19:30,13.30000000,7691344.34000000,37.59000000,1170
12326,12326-2,20:00,15.93000000,9639000.23000000,45.06000000,1200
12326,12326-2,20:30,16.25000000,10134146.10000000,48.32000000,1230
12326,12326-2,21:00,18.96000000,11265179.55000000,59.61000000,1260
12326,12326-2,21:30,18.35000000,10337690.00000000,65.69000000,1290
12326,12326-2,22:00,20.73000000,11880679.62000000,73.71000000,1320
12326,12326-2,22:30,24.03000000,14424049.92000000,81.80000000,1350
12326,12326-2,23:00,26.69000000,18415241.28000000,84.13000000,1380
12326,12326-2,23:30,25.64000000,14907981.38000000,87.36000000,1410
12751,12751-0,00:00,5.83000000,631204.27000000,4.25000000,0
12751,12751-0,00:30,5.47000000,226614.65000000,2.94000000,30
12751,12751-0,01:00,5.34000000,111704.95000000,2.07000000,60
12751,12751-0,01:30,5.31000000,80736.34000000,1.76000000,90
12751,12751-0,02:00,5.34000000,166883.82000000,2.03000000,120
12751,12751-0,02:30,5.65000000,555075.03000000,3.04000000,150
12751,12751-0,03:00,2.87000000,68658.88000000,0.19000000,180
12751,12751-0,03:30,0.00000000,0.00000000,0.00000000,210
12751,12751-0,04:00,0.00000000,0.00000000,0.00000000,240
12751,12751-0,04:30,0.00000000,0.00000000,0.00000000,270
12751,12751-0,05:00,5.49000000,316541.13000000,2.56000000,300
12751,12751-0,05:30,5.52000000,474353.53000000,2.69000000,330
12751,12751-0,06:00,5.63000000,275420.74000000,4.94000000,360
12751,12751-0,06:30,6.06000000,638519.46000000,7.72000000,390
12751,12751-0,07:00,6.35000000,674550.76000000,10.66000000,420
12751,12751-0,07:30,7.39000000,1555877.95000000,17.14000000,450
12751,12751-0,08:00,7.06000000,1265594.73000000,12.97000000,480
12751,12751-0,08:30,6.91000000,867351.01000000,11.58000000,510
12751,12751-0,09:00,7.40000000,858128.61000000,11.19000000,540
12751,12751-0,09:30,11.47000000,547245.07000000,11.97000000,570
12751,12751-0,10:00,6.69000000,606097.34000000,11.57000000,600
12751,12751-0,10:30,8.37000000,1825582.81000000,20.24000000,630
12751,12751-0,11:00,8.37000000,1456582.99000000,16.09000000,660
12751,12751-0,11:30,6.98000000,673242.43000000,9.34000000,690
12751,12751-0,12:00,7.27000000,782697.10000000,11.27000000,720
12751,12751-0,12:30,7.58000000,847792.48000000,10.08000000,750
12751,12751-0,13:00,8.46000000,739098.96000000,11.05000000,780
12751,12751-0,13:30,7.75000000,689623.53000000,11.16000000,810
12751,12751-0,14:00,6.10000000,209322.53000000,9.30000000,840
12751,12751-0,14:30,6.91000000,733398.64000000,11.69000000,870
12751,12751-0,15:00,6.78000000,615122.17000000,10.26000000,900
12751,12751-0,15:30,7.96000000,1096056.19000000,12.45000000,930
12751,12751-0,16:00,7.68000000,654067.28000000,11.62000000,960
12751,12751-0,16:30,7.79000000,790692.81000000,10.45000000,990
12751,12751-0,17:00,7.16000000,733164.21000000,13.30000000,1020
12751,12751-0,17:30,8.23000000,1005501.43000000,16.32000000,1050
12751,12751-0,18:00,6.79000000,696804.74000000,11.55000000,1080
12751,12751-0,18:30,8.61000000,1608553.60000000,10.96000000,1110
12751,12751-0,19:00,6.70000000,770250.27000000,9.35000000,1140
12751,12751-0,19:30,6.21000000,407244.39000000,6.71000000,1170
12751,12751-0,20:00,6.36000000,581880.48000000,7.99000000,1200
12751,12751-0,20:30,6.41000000,533263.52000000,6.72000000,1230
12751,12751-0,21:00,6.47000000,676861.42000000,6.41000000,1260
12751,12751-0,21:30,6.29000000,385367.37000000,5.96000000,1290
